"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
FS22319MN,FB00190MN,Suaon Br.,0
FS22319MN,FB00189MN,Tungol Br.,0
FS33339LZ,FB33339LZ,EDSA-Taft Flyover,0
FS92814MN,FB92815MN,Bridge 1,0
FS15110MN,FB15111MN,Bridge 1,0
FS30007MN,FB82008MN,Br. V,0
FS32201MN,FB48301MN,Bilbo Br.,0
FS30007MN,FB82007MN,Br. IV,0
FS32201MN,FB48303MN,Frodo Br.,0
S00112MN,FB02277MN,Pangyan Parallel Br.,0
FS30007MN,FB82009MN,Flyover,0
FS30007MN,FB82010MN,Viaduct,0
FS30007MN,FB82006MN,Br. III,0
FS20306MN,FB48306MN,Br. 3,0
FS00021MN,FB00628MN,Br .1,0
FS30007MN,FB30007MN,Matiao Br.,0
FS92814MN,FB92814MN,Mati Diversion Bridge,0
FS20306MN,FB20306MN,Bridge 1,0
FS30007MN,FB82005MN,Matiao Br. II,0
FS20306MN,FB57129MN,Br. 1_2023,0
S01402MN,FB02283MN,Mayo Parallel Br.,0
FS20306MN,FB48305MN,Binaton Br.,0
FS32201MN,FB48302MN,Sumlog Parallel Br.,0
S01402MN,FB02282MN,Magdug Parallel Br.,0
S01402MN,FB02278MN,Kawayan Parallel Br.,0
S01402MN,FB02280MN,Talisay Parallel Br.,0
S01402MN,FB02279MN,Bitaogan Parallel Br.,0
S01402MN,FB02281MN,La Union Parallel Br.,0
FS20306MN,FB48304MN,Upper Tibanban Br.,0
S01448MN,FB22046MN,Sumlog Parallel Br.,0
FS02274MN,FB82011MN,Br. 1,0
FS02274MN,FB82013MN,Br. 3,0
FS02274MN,FB82014MN,Br. 4,0
FS02274MN,FB82015MN,Br. 5,0
FS02274MN,FB82012MN,Br. 2,0
FS20303MN,FB48309MN,Br. 4,0
FS20303MN,FB48308MN,Br. 3,0
FS20303MN,FB48307MN,Savat Br,0
FS20303MN,FB00177MN,Malig Br.,0
FS15192MN,FB13230MN,Bridge 1,0
FS15192MN,FB00013MN,Latian Br.,0
FS15192MN,FB02283MN,Malinao Br.,0
FS15192MN,FB00015MN,Mokitbago Br.,0
FS15192MN,FB00014MN,Malamsbang Br.,0
FS15192MN,FB00012MN,Latian-Daku Br.,0
FS15302MN,FB48610MN,Matti Br.,0
FS15302MN,FB57090MN,Br. 1_2023,0
FS15302MN,FB57091MN,Br. 1_2023,0
FS15302MN,FB48611MN,Tiguman Br.,0
FS15300MN,FB48607MN,Br. 5,0
FS15300MN,FB48603MN,Br. 1,0
FS15300MN,FB15300MN,Bridge 2,0
FS15300MN,FB48609MN,Mainit Br.,0
FS15300MN,FB48605MN,Kisulan Br.,0
FS15300MN,FB48606MN,Lati-an Br.,0
FS15301MN,FB40012MN,Bridge 1,0
FS15301MN,FB40018MN,Bridge 1,0
FS15301MN,FB10801MN,Bridge 1,0
FS32403MN,FB48602MN,Bridge 2,0
FS32403MN,FB48601MN,Bridge 1,0
FS15300MN,FB48604MN,San Pedro Br.,0
FS15301MN,FB10802MN,Bridge 2019_B,0
FS15300MN,FB48608MN,Bagong Negros Br.,0
FS22302MN,FB00191MN,Viaduct,0
FS15122MN,FB15122MN,Bridge 1,0
FS32802MN,FB32802MN,Bridge 1,0
FS40001MN,FB40001MN,Bridge 1,0
FS15121MN,FB15121MN,Bridge 1,0
FS15121MN,FB12151MN,F. Torres,0
FS32818MN,FB49213MN,New Br. 1,0
FS92764MN,FB92777MN,Bridge III-8,0
FS92764MN,FB92776MN,Bridge III-7,0
FS92764MN,FB92770MN,Bridge III-2,0
FS92764MN,FB92775MN,Bridge III-6,0
FS92764MN,FB92772MN,Bridge III-4,0
FS92764MN,FB92764MN,Bridge III-1,0
FS92764MN,FB92774MN,Bridge III-5,0
FS92764MN,FB92771MN,Bridge III-3,0
FS92764MN,FB92778MN,Bridge III-9,0
FS92764MN,FB92780MN,Bridge III-11,0
S01335MN,FB17322MN,Libby Br. 2,0
FS92764MN,FB92783MN,Bridge III-13,0
FS92764MN,FB92779MN,Bridge III-10,0
FS92764MN,FB92782MN,Bridge III-12,0
FS92764MN,FB92781MN,Bridge III-11A,0
FS20272MN,FB18072MN,Bridge 1,0
FS00011MN,FB00048MN,Tagpore Br.,0
FS00806MN,FB00618MN,Matina Aplaya Br.,0
FS92764MN,FB92786MN,Overpass Bridge 3,0
FS92764MN,FB92784MN,Overpass Bridge 1,0
